Phase E acceptance run
branch: audit/2026-09-15
commit: 686bf7039a9ddd2aa9cd59dcf5f1a85f46bd9520

  PASS|the tree is clean, so the evidence describes commit 686bf703
  PASS|on the audit branch 'audit/2026-09-15', where the audit was developed
  PASS|no try!, as!, -Wno-, or inline lint suppression in tracked Swift
  PASS|0 placeholder markers in tracked source
  PASS|swift build --build-tests: 0 compiler errors, 0 compiler warnings (1 SwiftPM notice(s) not counted)
  PASS|tests: 1052 tests in 196 suites
  PASS|AddressSanitizer: exit 0, no report
  PASS|ThreadSanitizer: exit 0, no report
  PASS|coverage: TOTAL                                                  6491              2563    60.51%        2518              1075    57.31%       20519              9834    52.07%           0                 0         -
  PASS|gitleaks over the full history: 0 findings
  PASS|osv-scanner: no issues found
  PASS|semgrep: 3 finding(s), all covered by a recorded waiver — Ran 461 rules on 101 files: 3 findings.
  PASS|shellcheck -S style: 0 findings over 24 tracked script(s)
  PASS|ruff check: clean
  FAIL|pyright is not installed
  PASS|swiftlint: 253 finding(s), within the recorded waiver of 255
  PASS|swift-format: 739 diagnostic(s), within the recorded waiver of 744
  PASS|verify-done-commits.sh: backed 202 · skipped 15 · unbacked 0
  PASS|ledger: 217 tasks, none open, 0 blocked
  PASS|every BLOCKED task carries a blocked_reason
  PASS|the embedded web interface matches web/
  PASS|the embedded name lists match names/
  PASS|ledger.md status region is in step with ledger.json (217 tasks)

22 passed, 1 failed
